id	genre_term	word_term	word_definition	word_explanation	question_content	correct_answer	difficulty
40	Hardware	KVM スイッチ	Keyboard, Video and Mouse Switch	複数のコンピュータを1セットのキーボード、モニター、マウスで操作するための装置	複数のコンピュータを1セットの入出力デバイスで操作するための装置は何ですか？	KVM スイッチ	3
41	Hardware	ASIC	Application-Specific Integrated Circuit	特定の用途のために設計された集積回路	特定の用途に特化して設計された集積回路は何と呼ばれますか？	ASIC	3
42	Hardware	SoC	System on a Chip	1つのチップ上に複数の機能を統合した集積回路	1つのチップ上にCPU、GPU、メモリなどの機能を統合した集積回路は何と呼ばれますか？	SoC	3
43	Hardware	DIMM	Dual In-line Memory Module	コンピュータに使用されるメモリモジュールの一種	コンピュータのRAMとして一般的に使用されるメモリモジュールの種類は何ですか？	DIMM	2
44	Hardware	サーマルペースト	Thermal Paste	CPUと冷却装置の間の熱伝導を改善する物質	CPUと冷却装置の間に塗布して熱伝導を改善する物質は何ですか？	サーマルペースト	2
45	Hardware	ライザーカード	Riser Card	拡張カードの取り付け位置を変更するための中継基板	拡張カードの取り付け位置や向きを変更するための中継基板は何と呼ばれますか？	ライザーカード	3
46	Hardware	eSATA	External Serial Advanced Technology Attachment	外部記憶装置接続用のインターフェース規格	外部記憶装置を高速に接続するためのインターフェース規格は何ですか？	eSATA	3
47	Hardware	IPMI	Intelligent Platform Management Interface	サーバーのハードウェアを監視・管理するための規格	サーバーのハードウェア状態を遠隔で監視・管理するための規格は何ですか？	IPMI	3
48	Hardware	NFC	Near Field Communication	近距離無線通信技術	スマートフォンなどで使用される近距離無線通信技術は何ですか？	NFC	2
49	Hardware	VRM	Voltage Regulator Module	電圧を調整するための回路モジュール	CPUに適切な電圧を供給するための回路モジュールは何と呼ばれますか？	VRM	3
50	Hardware	バスブリッジ	Bus Bridge	異なるバス間でデータを転送する装置	異なる種類や速度のバス間でデータを転送する装置は何と呼ばれますか？	バスブリッジ	3
51	Hardware	CUDA コア	Compute Unified Device Architecture Core	NVIDIAのGPUにおける並列処理ユニット	NVIDIAのGPUで並列処理を行う基本ユニットは何と呼ばれますか？	CUDA コア	3
52	Hardware	アクチュエーター	Actuator	電気信号を物理的な動きに変換する装置	電気信号を受けて物理的な動きを生成する装置は何と呼ばれますか？	アクチュエーター	2
53	Hardware	プレキシグラス	Plexiglass	透明なプラスチック製の板材	コンピュータケースの側面パネルなどに使用される透明なプラスチック製の板材は何と呼ばれますか？	プレキシグラス	2
54	Hardware	フォトカプラ	Photocoupler	光を使用して電気信号を絶縁伝送する素子	光を使用して電気信号を絶縁状態で伝送する半導体素子は何と呼ばれますか？	フォトカプラ	3
55	Hardware	PTC サーミスタ	Positive Temperature Coefficient Thermistor	温度上昇に伴い抵抗値が増加する素子	温度上昇に伴って抵抗値が増加する特性を持つ素子は何と呼ばれますか？	PTC サーミスタ	3
56	Hardware	スレッショルド電圧	Threshold Voltage	半導体素子が導通を開始する最小電圧	MOSFETなどの半導体素子が導通を開始する最小の電圧は何と呼ばれますか？	スレッショルド電圧	3
57	Hardware	ブリッジ整流回路	Bridge Rectifier Circuit	交流を直流に変換する回路	4つのダイオードを使用して交流を直流に変換する回路は何と呼ばれますか？	ブリッジ整流回路	3
58	Hardware	DSP	Digital Signal Processor	デジタル信号処理に特化したプロセッサ	音声や画像などのデジタル信号処理に特化したプロセッサは何と呼ばれますか？	DSP	3
59	Hardware	FPGA	Field-Programmable Gate Array	プログラム可能な論理回路	ユーザーが論理回路を構成できる集積回路は何と呼ばれますか？	FPGA	3
60	Hardware	ヒートシンク	Heat Sink	熱を効率的に放散させる装置	電子部品の熱を効率的に放散させるための金属製の装置は何と呼ばれますか？	ヒートシンク	2
61	Hardware	オシロスコープ	Oscilloscope	電気信号の波形を観測する装置	電気信号の波形を視覚的に観測するための装置は何と呼ばれますか？	オシロスコープ	2
62	Hardware	ASIC	Application-Specific Integrated Circuit	特定の用途向けに設計された集積回路	特定の用途に最適化された専用の集積回路は何と呼ばれますか？	ASIC	3
63	Hardware	EEPROM	Electrically Erasable Programmable Read-Only Memory	電気的に書き換え可能な不揮発性メモリ	電気的に内容を書き換えられる不揮発性メモリは何と呼ばれますか？	EEPROM	3
64	Hardware	GPIO	General-Purpose Input/Output	汎用入出力ピン	マイコンボードなどで多目的に使用できる入出力ピンは何と呼ばれますか？	GPIO	3
65	Hardware	SATA	Serial Advanced Technology Attachment	ストレージデバイス接続用のインターフェース規格	ハードディスクドライブなどを接続するための一般的なインターフェース規格は何ですか？	SATA	2
66	Hardware	サーミスタ	Thermistor	温度によって抵抗値が変化する素子	温度変化に応じて抵抗値が変化する電子部品は何と呼ばれますか？	サーミスタ	2
67	Hardware	ESD保護	Electrostatic Discharge Protection	静電気放電から電子機器を保護する技術	静電気放電から電子機器を保護するための技術は何と呼ばれますか？	ESD保護	3
68	Hardware	クロックジェネレータ	Clock Generator	システムクロック信号を生成する装置	コンピュータシステムのタイミング信号を生成する装置は何と呼ばれますか？	クロックジェネレータ	3
69	Hardware	I2C	Inter-Integrated Circuit	集積回路間の通信規格	低速な周辺機器との通信によく使用される2線式のシリアルバス規格は何ですか？	I2C	3
70	Hardware	HDMI	High-Definition Multimedia Interface	デジタル映像・音声信号の伝送規格	高品質なデジタル映像と音声を1本のケーブルで伝送できる規格は何ですか？	HDMI	2
71	Software	IDE	Integrated Development Environment	コード編集、デバッグ、コンパイルなどの機能を統合した開発環境	プログラミングに必要な様々なツールを1つにまとめた開発環境は何と呼ばれますか？	IDE	2
72	Software	API	Application Programming Interface	アプリケーション間の通信を可能にするインターフェース	ソフトウェアコンポーネント間の相互作用を定義する仕様セットは何と呼ばれますか？	API	2
73	Software	ソースコード	Source Code	人間が読み書き可能なプログラミング言語で書かれたコード	コンピュータープログラムの人間が読める形式は何と呼ばれますか？	ソースコード	1
74	Software	コンパイラ	Compiler	ソースコードを機械語に変換するプログラム	高級言語で書かれたプログラムを機械語に変換するソフトウェアは何ですか？	コンパイラ	2
75	Software	デバッガ	Debugger	プログラムのバグを見つけて修正するためのツール	プログラム実行中にコードの動作を追跡し、エラーを特定するツールは何ですか？	デバッガ	2
76	Software	バージョン管理	Version Control	ソフトウェアの変更履歴を管理するシステム	ソースコードの変更履歴を追跡し、複数の開発者が協調して作業するためのシステムは何と呼ばれますか？	バージョン管理	2
77	Software	アジャイル開発	Agile Development	反復的かつ増分的な開発手法	柔軟性と迅速な対応を重視する反復的なソフトウェア開発手法は何と呼ばれますか？	アジャイル開発	2
78	Software	スクラム	Scrum	アジャイル開発の具体的な実践方法の一つ	短いスプリントと定期的なミーティングを特徴とするアジャイル開発フレームワークは何ですか？	スクラム	2
79	Software	CI/CD	Continuous Integration/Continuous Deployment	継続的な統合とデプロイメントを自動化するプラクティス	コードの変更を頻繁に統合し、自動的にテストとデプロイを行う開発プラクティスは何と呼ばれますか？	CI/CD	3
80	Software	ユニットテスト	Unit Testing	個々のコード単位をテストする手法	プログラムの最小単位（通常は関数やメソッド）の動作を確認するテスト手法は何ですか？	ユニットテスト	2
81	Software	リファクタリング	Refactoring	既存のコードの内部構造を改善する過程	プログラムの外部動作を変えずに、内部構造を改善するプロセスは何と呼ばれますか？	リファクタリング	3
82	Software	デザインパターン	Design Pattern	一般的なプログラミング問題の再利用可能な解決策	ソフトウェア設計における一般的な問題に対する標準化された解決策のセットは何と呼ばれますか？	デザインパターン	3
83	Software	オブジェクト指向	Object-Oriented Programming	データと操作をオブジェクトとしてモデル化するパラダイム	データとそれに関連する操作をオブジェクトとしてまとめるプログラミングパラダイムは何ですか？	オブジェクト指向	2
84	Software	関数型プログラミング	Functional Programming	関数の適用を中心とするプログラミングパラダイム	副作用を避け、関数の適用を中心とするプログラミングパラダイムは何ですか？	関数型プログラミング	3
85	Software	マイクロサービス	Microservices	アプリケーションを小さなサービスに分割するアーキテクチャ	大規模なアプリケーションを独立して展開可能な小さなサービスに分割するアーキテクチャは何ですか？	マイクロサービス	3
86	Software	コンテナ化	Containerization	アプリケーションとその依存関係をパッケージ化する技術	アプリケーションとその実行環境を一緒にパッケージ化する技術は何ですか？	コンテナ化	3
87	Software	クラウドコンピューティング	Cloud Computing	インターネットを通じてコンピューティングリソースを提供するモデル	インターネットを通じてコンピューティングリソースをオンデマンドで提供するモデルは何ですか？	クラウドコンピューティング	2
88	Software	サーバーレス	Serverless	インフラストラクチャ管理を抽象化するクラウドコンピューティングモデル	開発者がサーバー管理を気にせずにコードを実行できるクラウドコンピューティングモデルは何ですか？	サーバーレス	3
89	Software	DevOps	DevOps	開発と運用の統合を目指す文化やプラクティス	開発チームと運用チームの連携を強化し、ソフトウェア開発の効率を高める取り組みは何と呼ばれますか？	DevOps	2
90	Software	TDD	Test-Driven Development	テストを先に書く開発手法	テストを先に書き、それをパスするコードを実装する開発手法は何と呼ばれますか？	TDD	3
91	Software	ガベージコレクション	Garbage Collection	自動的にメモリを解放する機能	使用されなくなったメモリを自動的に回収する機能は何と呼ばれますか？	ガベージコレクション	2
92	Software	ラムダ関数	Lambda Function	無名関数を作成する機能	名前を持たない小さな関数を即座に定義できる機能は何と呼ばれますか？	ラムダ関数	3
93	Software	RESTful API	RESTful API	RESTアーキテクチャに基づいたAPI	リソースの状態を表現し、HTTPメソッドを使用するWeb APIアーキテクチャスタイルは何ですか？	RESTful API	3
94	Software	GraphQL	GraphQL	柔軟なAPIクエリ言語	クライアントが必要なデータを正確に指定できるAPIクエリ言語は何ですか？	GraphQL	3
95	Software	WebSocket	WebSocket	双方向通信を可能にするプロトコル	クライアントとサーバー間でリアルタイムの双方向通信を可能にするプロトコルは何ですか？	WebSocket	3
96	Software	PWA	Progressive Web Application	Webアプリとネイティブアプリの特徴を併せ持つアプリケーション	Webテクノロジーを使用しながらネイティブアプリのような体験を提供するアプリケーションは何と呼ばれますか？	PWA	2
97	Software	SPA	Single Page Application	1つのWebページで動作するアプリケーション	ページ全体を再読み込みせずに動的にコンテンツを更新するWebアプリケーションは何と呼ばれますか？	SPA	2
98	Software	ORM	Object-Relational Mapping	オブジェクト指向言語とリレーショナルデータベースの橋渡し	プログラミング言語のオブジェクトとデータベースのテーブルを対応付ける技術は何ですか？	ORM	3
99	Software	NoSQL	NoSQL	非リレーショナルデータベース	リレーショナルモデルを使用しない柔軟なデータベース管理システムは何と呼ばれますか？	NoSQL	2
100	Software	ブロックチェーン	Blockchain	分散型台帳技術	改ざんが困難な分散型データベース技術で、暗号通貨の基盤となっているものは何ですか？	ブロックチェーン	3
101	Software	機械学習	Machine Learning	データからパターンを学習し予測や判断を行う技術	データから自動的にパターンを学習し、予測や判断を行うAIの一分野は何ですか？	機械学習	3
102	Software	ディープラーニング	Deep Learning	多層のニューラルネットワークを用いた機械学習	多層のニューラルネットワークを使用する機械学習の手法は何ですか？	ディープラーニング	3
103	Software	IoT	Internet of Things	モノのインターネット	物理的なデバイスをインターネットに接続し、データを収集・交換する技術は何と呼ばれますか？	IoT	2
104	Software	エッジコンピューティング	Edge Computing	エンドポイントに近い場所でデータ処理を行う手法	クラウドの代わりにデータソースに近い場所でデータ処理を行うコンピューティングパラダイムは何ですか？	エッジコンピューティング	3
105	Software	CMS	Content Management System	Webコンテンツを管理するシステム	Webサイトのコンテンツを効率的に作成、編集、公開するためのシステムは何と呼ばれますか？	CMS	2
106	Software	SEO	Search Engine Optimization	検索エンジン最適化	Webサイトを検索エンジンの上位に表示させるための技術や戦略は何と呼ばれますか？	SEO	2
107	Software	アクセシビリティ	Accessibility	ソフトウェアの使いやすさを向上させる取り組み	障害のある人を含むすべてのユーザーがソフトウェアを使いやすくする取り組みは何と呼ばれますか？	アクセシビリティ	2
108	Software	ローカライゼーション	Localization	ソフトウェアを特定の地域や言語に適応させること	ソフトウェアを特定の地域や言語に合わせて翻訳・適応させるプロセスは何と呼ばれますか？	ローカライゼーション	2
109	Software	UX	User Experience	ユーザーの体験全体を設計すること	製品やサービスとのインタラクション全体を通じてユーザーが得る体験を設計することは何と呼ばれますか？	UX	2
110	Software	UI	User Interface	ユーザーとソフトウェアの接点となる部分	ユーザーがソフトウェアと対話するための視覚的・機能的な部分は何と呼ばれますか？	UI	2
111	Software	モバイルファースト	Mobile First	モバイルデバイスを優先したデザイン手法	デザインや開発をモバイルデバイスを最優先に考えて行うアプローチは何と呼ばれますか？	モバイルファースト	2
112	Software	レスポンシブデザイン	Responsive Design	デバイスの画面サイズに応じて最適化されるデザイン	異なる画面サイズやデバイスに適応して表示を最適化するWebデザインの手法は何ですか？	レスポンシブデザイン	2
113	Software	クロスプラットフォーム開発	Cross-Platform Development	複数のプラットフォームで動作するアプリケーションの開発	1つのコードベースで複数のOSやデバイスで動作するアプリケーションを開発する手法は何ですか？	クロスプラットフォーム開発	3
114	Software	ビッグデータ	Big Data	大量のデータを処理・分析する技術	従来のデータベース管理ツールでは処理が困難な大量のデータセットを指す用語は何ですか？	ビッグデータ	2
115	Software	データマイニング	Data Mining	大量のデータから有用な情報を抽出する技術	大規模なデータセットから意味のあるパターンや関係性を発見するプロセスは何と呼ばれますか？	データマイニング	3
116	Software	スクラムマスター	Scrum Master	スクラムチームのファシリテーター	スクラムプロセスを促進し、チームの生産性を向上させる役割は何と呼ばれますか？	スクラムマスター	2
117	Software	プロダクトオーナー	Product Owner	製品の方向性を決定する役割	アジャイル開発で製品のビジョンと優先順位を決定する役割は何と呼ばれますか？	プロダクトオーナー	2
118	Software	テクニカルデット	Technical Debt	将来の開発効率低下につながる技術的負債	短期的な解決策を選択することで将来的に発生する追加作業や非効率性は何と呼ばれますか？	テクニカルデット	3
119	Software	コードスメル	Code Smell	リファクタリングが必要な兆候	深刻な問題ではないがコードの品質低下を示す兆候は何と呼ばれますか？	コードスメル	3
120	Software	ペアプログラミング	Pair Programming	2人で1つのコードを書く開発手法	2人の開発者が1つのワークステーションで協力してコードを書く手法は何と呼ばれますか？	ペアプログラミング	2
121	Software	モッキング	Mocking	テスト時に外部依存を模倣する技術	ユニットテストで外部依存を模倣するオブジェクトを使用する技術は何と呼ばれますか？	モッキング	3
122	Software	継続的最適化	Continuous Optimization	システムのパフォーマンスを継続的に改善するプロセス	システムのパフォーマンスを継続的にモニタリングし改善するプロセスは何と呼ばれますか？	継続的最適化	3
123	Software	A/Bテスト	A/B Testing	2つのバージョンを比較するテスト手法	2つの異なるバージョンを比較して最適な選択を行うテスト手法は何と呼ばれますか？	A/Bテスト	2
124	Software	カナリアリリース	Canary Release	新機能を一部のユーザーにのみリリースする手法	新機能を限られたユーザーグループに段階的にリリースする手法は何と呼ばれますか？	カナリアリリース	3
125	Software	ブルーグリーンデプロイメント	Blue-Green Deployment	2つの同一環境を切り替えるデプロイ手法	2つの同一の本番環境を用意し、トラフィックを瞬時に切り替えるデプロイ手法は何と呼ばれますか？	ブルーグリーンデプロイメント	3
126	Software	フィーチャーフラグ	Feature Flag	機能のオン/オフを切り替える仕組み	特定の機能を動的に有効/無効にできる仕組みは何と呼ばれますか？	フィーチャーフラグ	2
127	Software	ログ集約	Log Aggregation	複数のソースからログを収集・管理する技術	分散システムの複数のソースからログを一元的に収集・管理する技術は何と呼ばれますか？	ログ集約	3
128	Software	サービスメッシュ	Service Mesh	マイクロサービス間の通信を管理するインフラストラクチャ層	マイクロサービス間の通信を制御・監視するインフラストラクチャ層は何と呼ばれますか？	サービスメッシュ	3
129	Software	イミュータブルインフラストラクチャ	Immutable Infrastructure	変更不可能なインフラストラクチャの概念	インフラストラクチャの変更を更新ではなく置き換えで行う概念は何と呼ばれますか？	イミュータブルインフラストラクチャ	3
130	Software	インフラストラクチャ・アズ・コード	Infrastructure as Code	インフラストラクチャをコードで管理する手法	インフラストラクチャの構成をコードとして管理・自動化する手法は何と呼ばれますか？	インフラストラクチャ・アズ・コード	3
131	Software	デザインシンキング	Design Thinking	ユーザー中心の問題解決アプローチ	ユーザーのニーズを深く理解し、創造的に問題を解決するプロセスは何と呼ばれますか？	デザインシンキング	2
132	Software	ドメイン駆動設計	Domain-Driven Design	ビジネスドメインに基づいたソフトウェア設計手法	ビジネスドメインの概念をソフトウェア設計の中心に置く手法は何と呼ばれますか？	ドメイン駆動設計	3
133	Software	マイクロフロントエンド	Micro Frontends	フロントエンド開発をマイクロサービス的に分割する手法	フロントエンドアプリケーションを独立して開発・デプロイ可能な小さな部分に分割する手法は何ですか？	マイクロフロントエンド	3
134	Software	エッジAI	Edge AI	エッジデバイスでAI処理を行う技術	クラウドではなくエッジデバイス上でAI処理を実行する技術は何と呼ばれますか？	エッジAI	3
135	Software	クラウドネイティブ	Cloud Native	クラウド環境に最適化されたアプリケーション開発・運用手法	クラウド環境の利点を最大限に活用するアプリケーション開発・運用のアプローチは何と呼ばれますか？	クラウドネイティブ	3
136	Software	コンテナオーケストレーション	Container Orchestration	複数のコンテナを管理・調整する技術	多数のコンテナのデプロイ、スケーリング、ネットワーキングを自動化する技術は何ですか？	コンテナオーケストレーション	3
137	Software	ゼロトラストセキュリティ	Zero Trust Security	すべてのアクセスを検証するセキュリティモデル	ネットワークの内外を問わず、すべてのアクセスを常に検証するセキュリティモデルは何ですか？	ゼロトラストセキュリティ	3
138	Software	デジタルツイン	Digital Twin	物理的なオブジェクトのデジタル表現	現実世界の物理的なオブジェクトやプロセスのデジタル表現は何と呼ばれますか？	デジタルツイン	3
139	Software	プログレッシブエンハンスメント	Progressive Enhancement	基本機能から段階的に機能を追加する Web 開発手法	基本的な機能から始めて、ブラウザの機能に応じて段階的に機能を追加する Web 開発手法は何ですか？	プログレッシブエンハンスメント	3
140	Software	フェールファスト	Fail Fast	早期にエラーを検出し対応する設計原則	システムの問題を早期に検出し、迅速に対応することを目指す設計原則は何と呼ばれますか？	フェールファスト	2
141	Software	コグニティブコンピューティング	Cognitive Computing	人間のような認知能力を持つコンピューティング	人間の思考プロセスを模倣し、自然言語処理や機械学習を活用するコンピューティングアプローチは何ですか？	コグニティブコンピューティング	3
142	Software	ローコード開発	Low-Code Development	最小限のコーディングでアプリケーションを開発するプラットフォーム	視覚的なインターフェースを使用し、最小限のコーディングでアプリケーションを開発するプラットフォームは何ですか？	ローコード開発	2
143	Software	イミュータブルデータ	Immutable Data	一度作成されたら変更できないデータ構造	作成後に内容を変更できないデータ構造の概念は何と呼ばれますか？	イミュータブルデータ	3
144	Software	カオスエンジニアリング	Chaos Engineering	システムの耐障害性をテストする手法	本番環境に意図的に障害を導入し、システムの回復力をテストする手法は何ですか？	カオスエンジニアリング	3
145	Software	エニーキャスト	Anycast	同一のIPアドレスを複数のサーバーに割り当てる手法	同一のIPアドレスを地理的に分散した複数のサーバーに割り当てるネットワーキング手法は何ですか？	エニーキャスト	3
146	Software	ステートフルプログラミング	Stateful Programming	プログラムの状態を保持するプログラミングパラダイム	プログラムの実行状態を保持し、それに基づいて動作を変えるプログラミングパラダイムは何ですか？	ステートフルプログラミング	3
147	Software	コンポーネント指向プログラミング	Component-Oriented Programming	再利用可能なコンポーネントを中心としたプログラミング手法	独立して再利用可能なソフトウェアの構成要素を中心に設計するプログラミング手法は何ですか？	コンポーネント指向プログラミング	3
148	Software	イベントソーシング	Event Sourcing	システムの状態変更をイベントとして記録する手法	システムの状態変更を一連のイベントとして記録し、それを再生することで現在の状態を構築する手法は何ですか？	イベントソーシング	3
149	Software	CQRS	Command Query Responsibility Segregation	コマンドとクエリの責務を分離するアーキテクチャパターン	データの更新（コマンド）と読み取り（クエリ）の責務を分離するアーキテクチャパターンは何ですか？	CQRS	3
150	Software	エクストリームプログラミング	Extreme Programming	アジャイル開発の一種で、品質と生産性の向上を目指す手法	頻繁なリリース、継続的な改善、顧客との密接な協力を特徴とするアジャイル開発手法は何ですか？	エクストリームプログラミング	3
151	Network	ルーター	Router	ネットワーク間でデータを転送する装置	異なるネットワーク間でデータパケットを転送する装置は何ですか？	ルーター	1
152	Network	スイッチ	Switch	ローカルネットワーク内でデータを転送する装置	ローカルエリアネットワーク内でデータフレームを転送する装置は何ですか？	スイッチ	1
153	Network	ファイアウォール	Firewall	ネットワークのセキュリティを保護する装置やソフトウェア	不正なアクセスからネットワークを保護するための装置やソフトウェアは何ですか？	ファイアウォール	2
154	Network	DNS	Domain Name System	ドメイン名をIPアドレスに変換するシステム	ドメイン名をIPアドレスに変換するインターネットの名前解決システムは何ですか？	DNS	2
155	Network	DHCP	Dynamic Host Configuration Protocol	IPアドレスを自動的に割り当てるプロトコル	ネットワークデバイスにIPアドレスを自動的に割り当てるプロトコルは何ですか？	DHCP	2
156	Network	NAT	Network Address Translation	プライベートIPアドレスとパブリックIPアドレスを変換する技術	プライベートIPアドレスをパブリックIPアドレスに変換する技術は何ですか？	NAT	2
157	Network	VPN	Virtual Private Network	公衆ネットワーク上に仮想的なプライベートネットワークを構築する技術	インターネット上に暗号化された安全な通信経路を作成する技術は何ですか？	VPN	2
158	Network	OSI参照モデル	OSI Reference Model	ネットワーク通信を7層に分類したモデル	ネットワーク通信を7つの層に分類した標準的なモデルは何ですか？	OSI参照モデル	3
159	Network	TCP/IP	Transmission Control Protocol/Internet Protocol	インターネット通信の基本プロトコル群	インターネット通信の基本となるプロトコル群は何ですか？	TCP/IP	2
160	Network	IPアドレス	IP Address	ネットワーク上のデバイスを識別する番号	ネットワーク上のデバイスを一意に識別するための数値アドレスは何ですか？	IPアドレス	1
161	Network	サブネットマスク	Subnet Mask	IPアドレスのネットワーク部とホスト部を区別するための値	IPアドレスのネットワーク部とホスト部を区別するために使用される値は何ですか？	サブネットマスク	2
162	Network	MACアドレス	MAC Address	ネットワークインターフェースの固有識別子	ネットワークインターフェースカードに割り当てられた固有の物理アドレスは何ですか？	MACアドレス	2
163	Network	VLAN	Virtual LAN	1つの物理ネットワークを複数の論理ネットワークに分割する技術	1つの物理的なネットワークを複数の論理的なネットワークに分割する技術は何ですか？	VLAN	3
164	Network	ポート番号	Port Number	ネットワーク上のアプリケーションやサービスを識別する番号	ネットワーク上のアプリケーションやサービスを識別するために使用される数値は何ですか？	ポート番号	2
165	Network	プロキシサーバー	Proxy Server	クライアントの代理としてサーバーと通信を行うサーバー	クライアントの代わりにインターネットリソースにアクセスするサーバーは何ですか？	プロキシサーバー	2
166	Network	ロードバランサー	Load Balancer	複数のサーバーにトラフィックを分散する装置	ネットワークトラフィックを複数のサーバーに分散させる装置は何ですか？	ロードバランサー	2
